sample_index;forward_barcode;reverse_barcode;count
i3001;FB201772;RB201772;25102
i3001;FB201507;RB201507;3621
i3001;FB203264;RB203264;763
i3001;FB200972;RB200972;27968
i3001;FB201397;RB201397;965
i3001;FB202538;RB202538;1135
i3001;FB203089;RB203089;2067
i3001;FB201251;RB201251;2879
i3001;FB201778;RB201778;178
i3001;FB201782;RB201782;298
i3001;FB201537;RB201537;13028
i3001;FB200755;RB200755;22218
i3001;FB202020;RB202020;357
i3001;FB200489;RB200489;265
i3001;FB201706;RB201706;11186
i3001;FB201259;RB201259;696
i3001;FB201461;RB201461;3993
i3001;FB200735;RB200735;173365
i3001;FB202726;RB202726;122
i3001;FB202068;RB202068;1161
i3001;FB201363;RB201363;1041
i3001;FB202581;RB202581;703
i3001;FB201135;RB201135;20023
i3001;FB201566;RB201566;2554
i3001;FB201824;RB201824;4715
i3001;FB200564;RB200564;4834
i3001;FB203249;RB203249;3829
i3001;FB201366;RB201366;7502
i3001;FB200266;RB200266;71303
i3001;FB201738;RB201738;117
i3001;FB200617;RB200617;4526
i3001;FB201780;RB201780;321
i3001;FB200725;RB200725;1120
i3001;FB201494;RB201494;1867
i3001;FB201531;RB201531;2587
i3001;FB201796;RB201796;43
i3001;FB202405;RB202405;219
i3001;FB201199;RB201199;3953
i3001;FB200502;RB200502;44
i3001;FB201999;RB201999;2359
i3001;FB200396;RB200396;198
i3001;FB200007;RB200007;17
i3001;FB200245;RB200245;186
i3001;FB200265;RB200265;207
i3001;FB202407;RB202407;126
i3001;FB202663;RB202663;608
i3001;FB201257;RB201257;18722
i3001;FB201162;RB201162;682
i3001;FB202579;RB202579;414
i3001;FB200992;RB200992;148
i3001;FB203364;RB203364;4093
i3001;FB202169;RB202169;2529
i3001;FB200298;RB200298;922
i3001;FB200563;RB200563;251
i3001;FB202465;RB202465;4445
i3001;FB200120;RB200120;73
i3001;FB201683;RB201683;17805
i3001;FB202570;RB202570;25652
i3001;FB201501;RB201501;2100
i3001;FB201655;RB201655;10635
i3001;FB202857;RB202857;2048
i3001;FB202079;RB202079;443
i3001;FB201616;RB201616;5499
i3001;FB200402;RB200402;2556
i3001;FB201239;RB201239;1539
i3001;FB202994;RB202994;1231
i3001;FB200702;RB200702;878
i3001;FB201878;RB201878;258
i3001;FB201077;RB201077;285
i3001;FB200741;RB200741;3426
i3001;FB201062;RB201062;7976
i3001;FB203293;RB203293;306
i3001;FB203328;RB203328;590
i3001;FB200616;RB200616;318
i3001;FB200919;RB200919;273
i3001;FB200038;RB200038;145
i3001;FB200531;RB200531;396
i3001;FB202534;RB202534;5816
i3001;FB200017;RB200017;737
i3001;FB201950;RB201950;782
i3001;FB2IC031;RB2IC031;1765
i3001;FB201515;RB201515;1742
i3001;FB204214;RB204214;244
i3001;FB202518;RB202518;1017
i3001;FB201230;RB201230;1197
i3001;FB201407;RB201407;4092
i3001;FB202710;RB202710;1720
i3001;FB203327;RB203327;517
i3001;FB200742;RB200742;1909
i3001;FB203319;RB203319;9167
i3001;FB201860;RB201860;2073
i3001;FB200850;RB200850;498
i3001;FB202776;RB202776;1597
i3001;FB201161;RB201161;4032
i3001;FB201592;RB201592;1857
i3001;FB200601;RB200601;107
i3001;FB202103;RB202103;293
i3001;FB203241;RB203241;237
i3001;FB200623;RB200623;2178
i3001;FB201110;RB201110;2654
i3001;FB202860;RB202860;277
i3001;FB200665;RB200665;10323
i3001;FB201313;RB201313;2194
